current_goal,next_goal,probability
grab(bench),place(bench),0.6
grab(bench),push(bench),0.3
grab(bench),grab(bottle),0.1
grab(backpack),place(backpack),0.5
grab(backpack),push(backpack),0.25
grab(backpack),pull(backpack),0.15
grab(backpack),grab(bottle),0.1
grab(umbrella),place(umbrella),0.5
grab(umbrella),grab(backpack),0.3
grab(umbrella),push(umbrella),0.2
grab(handbag),place(handbag),0.5
grab(handbag),grab(bottle),0.3
grab(handbag),grab(sandwich),0.2
grab(tie),place(tie),0.7
grab(tie),push(tie),0.2
grab(tie),pull(tie),0.1
grab(suitcase),place(suitcase),0.6
grab(suitcase),push(suitcase),0.4
grab(frisbee),push(frisbee),0.6
grab(frisbee),place(frisbee),0.4
grab(skis),place(skis),0.6
grab(skis),push(skis),0.3
grab(skis),grab(snowboard),0.1
grab(snowboard),place(snowboard),0.5
grab(snowboard),push(snowboard),0.3
grab(snowboard),grab(skis),0.2
grab(sports ball),place(sports ball),0.8
grab(sports ball),push(sports ball),0.2
grab(kite),place(kite),1.0
grab(baseball bat),place(baseball bat),0.4
grab(baseball bat),grab(sports ball),0.35
grab(baseball bat),grab(baseball glove),0.25
grab(baseball glove),place(baseball glove),0.4
grab(baseball glove),grab(baseball bat),0.35
grab(baseball glove),grab(sports ball),0.25
grab(skateboard),place(skateboard),0.6
grab(skateboard),push(skateboard),0.4
grab(tennis racket),place(tennis racket),0.4
grab(tennis racket),grab(sports ball),0.35
grab(tennis racket),push(sports ball),0.25
grab(bottle),place(bottle),0.6
grab(bottle),pour(bottle),0.4
grab(wine glass),place(wine glass),0.6
grab(wine glass),grab(bottle),0.3
grab(wine glass),pour(bottle),0.1
grab(cup),place(cup),0.6
grab(cup),grab(bottle),0.4
grab(fork),grab(knife),0.35
grab(fork),grab(spoon),0.3
grab(fork),place(fork),0.25
grab(fork),grab(bowl),0.1
grab(knife),place(knife),0.4
grab(knife),grab(banana),0.2
grab(knife),grab(apple),0.2
grab(knife),grab(carrot),0.2
grab(spoon),place(spoon),0.4
grab(spoon),pour(bottle),0.3
grab(spoon),place(bowl),0.2
grab(spoon),place(wine glass),0.1
grab(bowl),place(bowl),0.5
grab(bowl),pour(bowl),0.3
grab(bowl),grab(bottle),0.2
grab(banana),place(banana),0.6
grab(banana),grab(cup),0.3
grab(banana),grab(bottle),0.1
grab(apple),place(apple),1.0
grab(sandwich),place(sandwich),0.5
grab(sandwich),grab(fork),0.3
grab(sandwich),grab(knife),0.2
grab(orange),place(orange),0.6
grab(orange),grab(knife),0.3
grab(orange),push(orange),0.1
grab(broccoli),place(broccoli),0.4
grab(broccoli),grab(fork),0.25
grab(broccoli),grab(knife),0.2
grab(broccoli),pour(bottle),0.15
grab(carrot),place(carrot),0.6
grab(carrot),grab(bowl),0.4
grab(hot dog),place(hot dog),0.5
grab(hot dog),grab(fork),0.3
grab(hot dog),grab(knife),0.2
grab(pizza),place(pizza),0.7
grab(pizza),grab(fork),0.2
grab(pizza),grab(knife),0.1
grab(donut),place(donut),0.8
grab(donut),grab(fork),0.2
grab(cake),place(cake),0.5
grab(cake),place(bowl),0.3
grab(cake),place(cup),0.2
grab(chair),place(chair),1.0
grab(couch),place(couch),0.6
grab(couch),push(couch),0.3
grab(couch),pull(couch),0.1
grab(potted plant),place(potted plant),1.0
grab(dining table),place(dining table),0.6
grab(dining table),push(dining table),0.3
grab(dining table),pull(dining table),0.1
grab(laptop),place(laptop),0.6
grab(laptop),push(laptop),0.4
grab(mouse),place(mouse),0.4
grab(mouse),place(laptop),0.3
grab(mouse),push(laptop),0.2
grab(mouse),grab(laptop),0.1
grab(remote),press(remote),0.7
grab(remote),place(remote),0.3
grab(keyboard),place(keyboard),0.5
grab(keyboard),press(keyboard),0.3
grab(keyboard),place(laptop),0.2
grab(cell phone),place(cell phone),0.6
grab(cell phone),press(cell phone),0.4
grab(toaster),place(toaster),0.6
grab(toaster),press(toaster),0.4
grab(book),place(book),0.6
grab(book),grab(cup),0.3
grab(book),push(book),0.1
grab(vase),place(vase),0.6
grab(vase),grab(potted plant),0.3
grab(vase),place(dining table),0.1
grab(scissors),place(scissors),0.6
grab(scissors),grab(bottle),0.2
grab(scissors),grab(cup),0.1
grab(scissors),grab(wine glass),0.1
grab(teddy bear),place(teddy bear),1.0
